Items.money	+ 500,000 $	MONEY $	MISC
Ammo.HandgunAmmo	AMMO - REFILL PISTOL	AMMO	MISC
Ammo.ShotgunAmmo	AMMO - REFILL SHOTGUN	AMMO	MISC
Ammo.RifleAmmo	AMMO - REFILL RIFLE	AMMO	MISC
Ammo.SniperRifleAmmo	AMMO - REFILL SNIPER RIFLE	AMMO	MISC
Ammo.Special	AMMO - REFILL SPECIAL AMMO	AMMO	MISC
Items.CommonMaterial1	+ 1.000 TIER 1 COMPONENTS	CRAFTING COMPONENTS	MISC
Items.UncommonMaterial1	+ 1.000 TIER 2 COMPONENTS	CRAFTING COMPONENTS	MISC
Items.RareMaterial1	+ 1.000 TIER 3 COMPONENTS	CRAFTING COMPONENTS	MISC
Items.EpicMaterial1	+ 1.000 TIER 4 COMPONENTS	CRAFTING COMPONENTS	MISC
Items.LegendaryMaterial1	+ 1.000 TIER 5 COMPONENTS	CRAFTING COMPONENTS	MISC
Items.QuickHackUncommonMaterial1	+ 1.000 TIER 2 QUICKHACK COMPONENTS	CRAFTING COMPONENTS	MISC
Items.QuickHackRareMaterial1	+ 1.000 TIER 3 QUICKHACK COMPONENTS	CRAFTING COMPONENTS	MISC
Items.QuickHackEpicMaterial1	+ 1.000 TIER 4 QUICKHACK COMPONENTS	CRAFTING COMPONENTS	MISC
Items.QuickHackLegendaryMaterial1	+ 1.000 TIER 5 QUICKHACK COMPONENTS	CRAFTING COMPONENTS	MISC
Items.RareMaterial2	+ 1.000 TIER 3 UPGRADE COMPONENTS	CRAFTING COMPONENTS	MISC
Items.EpicMaterial2	+ 1.000 TIER 4 UPGRADE COMPONENTS	CRAFTING COMPONENTS	MISC
Items.LegendaryMaterial2	+ 1.000 TIER 5 UPGRADE COMPONENTS	CRAFTING COMPONENTS	MISC
Items.Q305_Cerberus_core_cracked	CERBERUS DECODED BEHAVIORAL SYSTEM COMPONENT	CRAFTING COMPONENTS	MISC
Items.Q305_Cerberus_core_uncracked	CERBERUS BEHAVIORAL SYSTEM COMPONENT	CRAFTING COMPONENTS	MISC
Items.FirstAidWhiffV0	MAXDOC MK.1	CONSUMABLES - MEDS	MISC
Items.FirstAidWhiffVCommonPlus	MAXDOC MK.1+	CONSUMABLES - MEDS	MISC
Items.FirstAidWhiffVUncommon	MAXDOC MK.2	CONSUMABLES - MEDS	MISC
Items.FirstAidWhiffVUncommonPlus	MAXDOC MK.2+	CONSUMABLES - MEDS	MISC
Items.FirstAidWhiffV1	MAXDOC MK.3	CONSUMABLES - MEDS	MISC
Items.FirstAidWhiffVRarePlus	MAXDOC MK.3+	CONSUMABLES - MEDS	MISC
Items.FirstAidWhiffVEpic	MAXDOC MK.4	CONSUMABLES - MEDS	MISC
Items.FirstAidWhiffVEpicPlus	MAXDOC MK.4+	CONSUMABLES - MEDS	MISC
Items.FirstAidWhiffV2	MAXDOC MK.5	CONSUMABLES - MEDS	MISC
Items.FirstAidWhiffVLegendaryPlus	MAXDOC MK.5+	CONSUMABLES - MEDS	MISC
